 

stn;time;uto200s0;tre200s0;rre150z0;rco150z0;sre000z0
BAS;202304110240;9.0;11.2;0.1;10;0
BAS;202304110250;8.4;10.7;0.8;10;0
BAS;202304110300;8.1;10.6;0.3;10;0
BAS;202304110310;8.0;10.5;0.0;10;0
BAS;202304110320;8.1;10.6;0.0;6;0
BAS;202304110330;8.2;10.6;0.0;0;0
BAS;202304110340;8.2;10.6;0.0;1;0
BAS;202304110350;8.5;10.6;0.0;7;0
BAS;202304110400;8.5;10.7;0.1;9;0
BAS;202304110410;8.5;10.6;0.0;9;0
BAS;202304110420;8.3;10.6;0.1;9;0
BAS;202304110430;8.0;10.5;0.1;9;0
BAS;202304110440;7.7;10.5;0.0;6;0
BAS;202304110450;7.7;10.5;0.0;0;0
BAS;202304110500;7.8;10.4;0.0;1;0
BAS;202304110510;7.9;10.4;0.0;0;0
BAS;202304110520;7.9;10.5;0.0;7;0
BAS;202304110530;8.0;10.4;0.0;5;0
BAS;202304110540;8.2;10.4;0.1;8;0
BAS;202304110550;8.3;10.1;0.1;10;0
BAS;202304110600;8.0;9.9;0.0;7;0
BAS;202304110610;7.9;9.8;0.0;10;0
BAS;202304110620;7.7;9.5;0.0;10;0
BAS;202304110630;7.8;9.2;0.0;9;0
BAS;202304110640;7.8;9.0;0.1;10;0
BAS;202304110650;7.7;8.9;0.0;9;0
BAS;202304110700;7.5;8.9;0.0;3;0
BAS;202304110710;7.4;8.9;0.0;1;0
BAS;202304110720;7.5;8.8;0.0;0;0
BAS;202304110730;7.3;8.9;0.0;1;0
BAS;202304110740;7.1;8.8;0.0;1;0
BAS;202304110750;6.9;8.8;0.0;0;0
BAS;202304110800;6.7;8.9;0.0;0;0
BAS;202304110810;6.7;9.0;0.0;0;0
BAS;202304110820;6.6;9.2;0.0;0;0
BAS;202304110830;6.5;9.2;0.0;0;0
BAS;202304110840;6.6;9.4;0.0;0;0
BAS;202304110850;6.7;9.6;0.0;0;0
BAS;202304110900;6.6;9.8;0.0;-;0
BAS;202304110910;6.5;10.1;0.0;0;0
BAS;202304110920;6.6;10.3;0.0;0;0
BAS;202304110930;6.6;10.4;0.0;0;0
BAS;202304110940;6.6;10.6;0.0;0;0
BAS;202304110950;6.5;10.6;0.0;0;0
BAS;202304111000;6.5;10.6;0.0;0;0
BAS;202304111010;6.4;10.6;0.0;0;0
BAS;202304111020;6.3;10.5;0.0;0;0
BAS;202304111030;6.4;10.8;0.0;0;0
BAS;202304111040;6.5;11.2;0.0;0;0
BAS;202304111050;6.2;10.9;0.0;0;0
BAS;202304111100;6.0;10.7;0.0;0;0
BAS;202304111110;6.1;11.0;0.0;0;0
BAS;202304111120;6.2;11.2;0.0;0;0
BAS;202304111130;6.3;11.1;0.0;0;0
BAS;202304111140;6.2;11.3;0.0;0;0
BAS;202304111150;6.2;11.6;0.0;0;0
BAS;202304111200;6.2;11.8;0.0;0;0
BAS;202304111210;6.1;12.1;0.0;-;0
BAS;202304111220;6.0;12.3;0.0;0;0
BAS;202304111230;5.7;12.1;0.0;0;0
BAS;202304111240;5.6;12.0;0.0;0;0
BAS;202304111250;5.7;12.3;0.0;0;0
BAS;202304111300;5.6;12.3;0.0;0;0
BAS;202304111310;5.8;12.3;0.0;0;0
BAS;202304111320;5.8;12.5;0.0;0;0
BAS;202304111330;5.8;12.3;0.0;0;0
BAS;202304111340;6.0;12.3;0.0;0;0
BAS;202304111350;6.0;12.2;0.0;0;0
BAS;202304111400;5.8;12.7;0.0;0;0
BAS;202304111410;5.9;13.1;0.0;0;0
